,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,,,101,,,,,,,,,
1,,,,,100,99,,,98,97,,,,,
2,,,,,,91,92,93,94,95,96,,,,
3,,,,,,,90,89,88,,,,,,
4,,,,,85,,,86,,,,87,,,
5,,,,,,84,83,82,81,80,79,,,,
6,,,,,,,76,,77,78,,,,,
7,,,,75,74,73,72,71,70,69,,68,,,
8,,,,,61,62,63,64,65,66,67,,,,
9,,60,,,,,59,,,58,,,,,
10,,54,55,,,,56,,,57,,,,,
11,,53,52,51,,50,49,48,47,46,45,44,,,
12,31,32,33,34,35,36,37,38,39,40,41,42,43,,
13,30,29,,,28,27,26,25,24,23,22,21,20,19,
14,,,,,11,12,13,14,15,,,16,17,18,
15,,,,,10,9,,,,,,,8,,7
16,,,,,5,,,,,,,,6,,
17,,,,4,,,,,,,,,3,,
18,,,0,1,,,,,,,,2,,,
